LocalDateTime,DataValue
1974-11-13 09:15:00,5.6
1974-12-31 12:25:00,9
1975-02-18 13:00:00,6.5
1975-03-18 09:40:00,3.3
1975-04-17 10:10:00,12
1975-05-19 14:00:00,8.8
1975-06-09 17:15:00,51
1975-07-14 17:20:00,6
1975-08-19 12:10:00,0.99
1975-09-22 13:46:00,1.6
1975-10-17 14:15:00,3.6
1975-11-12 11:05:00,11
1975-12-12 14:40:00,11
1976-01-22 13:55:00,9.8
1976-02-18 11:35:00,8.4
1976-03-18 10:45:00,12
1976-04-29 10:35:00,6.7
1976-05-27 11:00:00,3.8
1976-06-23 10:30:00,0.2
1976-08-12 10:45:00,0.28
1976-10-04 11:20:00,1.5
1976-12-01 11:45:00,3.1
1977-01-19 11:45:00,3.6
1977-03-15 10:10:00,3
1977-04-22 10:15:00,0.48
1977-06-01 13:45:00,0.11
1977-06-29 15:00:00,0.03
1977-08-08 13:30:00,0.06
1977-09-01 10:50:00,0.16
1978-10-03 17:30:00,4.5
1978-11-28 15:00:00,7.5
1979-01-08 20:00:00,8.2
1979-02-21 13:30:00,8.1
1979-03-16 10:00:00,8.2
1979-04-13 16:00:00,8
1979-05-17 15:47:00,1.6
1979-06-05 13:45:00,0.68
1979-07-11 10:00:00,0.45
1979-09-17 15:15:00,0.79
1979-10-12 15:00:00,0.37
1979-11-13 13:40:00,6.7
1979-12-11 14:55:00,2.5
1980-01-08 14:10:00,3.4
1980-03-20 11:15:00,8.1
1980-04-23 12:05:00,31
1980-05-08 15:30:00,32
1980-05-28 12:10:00,8
1980-06-19 14:45:00,5
1980-07-02 10:40:00,6.9
1980-08-05 13:20:00,0.71
1980-09-02 10:50:00,0.91
1980-10-09 11:50:00,3.9
1980-11-22 11:50:00,8.9
1980-12-15 16:30:00,8.4
1981-01-15 13:15:00,3
1981-03-04 12:00:00,2.5
1981-04-08 09:30:00,3.1
1981-05-02 18:40:00,1.7
1981-06-04 11:35:00,12
1981-07-30 14:10:00,0.25
1981-08-11 15:45:00,1.2
1981-08-20 12:15:00,0.25
1981-09-02 11:25:00,0.4
1981-10-14 14:50:00,4.4
1981-11-16 16:05:00,2.9
1981-12-04 13:30:00,2.7
1982-01-07 14:25:00,3.1
1982-02-12 10:30:00,7
1982-03-19 10:40:00,9.7
1982-04-09 10:55:00,16
1982-05-07 10:25:00,15
1982-06-09 15:15:00,28
1982-07-27 11:00:00,0.71
1982-08-11 12:50:00,0.99
1982-09-09 14:00:00,1.3
1982-10-12 15:20:00,8.6
1982-11-18 14:15:00,17
1983-01-25 12:25:00,9
1983-02-24 09:50:00,8.5
1983-03-24 13:55:00,10
1983-04-15 10:00:00,16
1983-06-02 19:45:00,69
1983-06-07 13:30:00,55
1983-07-19 11:55:00,1
1983-08-11 13:45:00,4.2
1983-09-13 13:45:00,4.9
1983-10-11 12:45:00,15
1983-12-01 09:45:00,5.8
1984-01-11 11:55:00,14
1984-03-29 15:55:00,17
1984-05-08 12:25:00,36
1984-05-14 11:35:00,41
1984-06-15 11:35:00,24
1984-08-06 15:00:00,1.4
1984-09-12 08:30:00,3.1
1987-10-05 14:40:00,0.85
1987-11-11 13:15:00,3
1987-12-14 12:10:00,3
1988-03-01 13:50:00,2.2
1988-04-25 16:40:00,2.7
1988-06-01 12:45:00,11
1988-07-19 17:50:00,0.28
1988-08-29 12:50:00,0.05
1988-10-03 13:10:00,0.66
1988-11-15 16:05:00,1.1
1988-12-15 10:45:00,1.6
1989-02-14 10:50:00,1.8
1989-03-23 11:05:00,2.9
1989-04-24 15:15:00,2.1
1989-06-01 16:20:00,1.1
1989-06-28 16:25:00,1.1
1989-07-24 10:50:00,0.44
1989-08-28 13:05:00,0.13
1989-10-02 15:40:00,0.85
1989-11-28 14:55:00,2.1
1990-02-05 13:55:00,1.1
1990-03-20 11:15:00,2.3
1990-04-17 17:25:00,1.2
1990-05-18 11:00:00,0.72
1990-06-12 13:30:00,35
1990-06-19 11:45:00,4.8
1990-07-17 14:30:00,0.49
1990-08-15 11:55:00,0.41
1990-09-12 16:20:00,0.14
1990-09-29 11:00:00,0.97
1990-10-16 16:30:00,1.1
1990-11-20 15:45:00,3.4
1991-02-06 12:00:00,1.8
1991-03-08 11:50:00,3.4
1991-04-16 12:05:00,3.6
1991-06-03 18:10:00,29
1991-06-05 11:25:00,39
1991-06-21 11:10:00,1.6
1991-07-16 14:30:00,0.44
1991-08-23 14:15:00,0.59
2007-12-14 14:50:00,1.4
2008-01-25 12:42:00,3.1
2008-02-29 12:42:00,4.6
2008-04-10 16:46:00,9.9
2008-05-23 09:30:00,2.4
2008-07-01 13:39:00,4.8
2008-08-19 13:55:00,1.1
2008-11-14 09:12:00,1.9
2009-01-14 13:34:00,1
2009-02-12 11:19:00,1.5
2009-04-02 12:17:00,3
2009-04-23 12:34:00,9.1
2009-05-04 09:38:00,25
2009-06-03 10:51:00,36
2009-07-07 12:41:00,7.8
2009-08-19 13:14:00,2.9
2009-10-01 08:48:00,1.6
2009-11-17 10:21:00,3.9
2009-12-29 11:42:00,5.4
2010-02-09 10:22:00,3.9
2010-03-16 08:15:00,3.2
2010-06-03 17:18:00,3.4
2010-07-12 13:50:00,1.4
2010-07-26 14:05:00,1.2
2010-08-18 15:00:00,1.8
2010-10-08 14:43:00,1.8
2010-10-08 15:20:00,1.8
2010-11-17 08:37:00,2.6
2010-11-17 08:57:00,2.6
2011-01-10 13:15:00,9.9
2011-02-18 10:42:00,12
2011-03-24 12:08:00,13
2011-04-19 15:05:00,28
2011-05-25 12:15:00,45
2011-05-26 11:44:00,43
2011-07-01 13:44:00,39
2011-08-11 12:48:00,6.8
2011-09-21 17:37:00,3.1
2011-10-06 10:47:00,7
2011-10-06 10:47:00,7
2011-11-14 10:52:00,5.9
2011-12-19 12:32:00,10
2012-02-07 09:46:00,7
2012-03-29 12:11:00,5.8
2012-04-06 10:22:00,2.6
2012-05-02 10:43:00,5.2
2012-05-14 09:45:00,11
2012-05-31 08:39:00,3.9
2012-06-06 09:29:00,2
2012-07-18 12:08:00,1.4
2012-07-24 14:54:00,0.56
2012-08-27 12:42:00,0.88
2012-09-20 07:57:00,0.73
2012-10-24 12:12:00,2.1
2012-11-19 10:42:00,3.2
2013-01-04 14:18:00,1.9
2013-02-22 13:34:00,1.2
1974-11-13 09:15:00,199
1974-12-31 12:25:00,319
1975-02-18 13:00:00,228
1975-03-18 09:40:00,118
1975-04-17 10:10:00,411
1975-05-19 14:00:00,312
1975-06-09 17:15:00,1790
1975-07-14 17:20:00,213
1975-08-19 12:10:00,35
1975-09-22 13:46:00,55
1975-10-17 14:15:00,126
1975-11-12 11:05:00,392
1975-12-12 14:40:00,392
1976-01-22 13:55:00,345
1976-02-18 11:35:00,295
1976-03-18 10:45:00,441
1976-04-29 10:35:00,235
1976-05-27 11:00:00,134
1976-06-23 10:30:00,7.1
1976-08-12 10:45:00,10
1976-10-04 11:20:00,52
1976-12-01 11:45:00,111
1977-01-19 11:45:00,128
1977-03-15 10:10:00,107
1977-04-22 10:15:00,17
1977-06-01 13:45:00,3.8
1977-06-29 15:00:00,1.1
1977-08-08 13:30:00,2.1
1977-09-01 10:50:00,5.7
1978-10-03 17:30:00,159
1978-11-28 15:00:00,266
1979-01-08 20:00:00,288
1979-02-21 13:30:00,287
1979-03-16 10:00:00,289
1979-04-13 16:00:00,283
1979-05-17 15:47:00,56
1979-06-05 13:45:00,24
1979-07-11 10:00:00,16
1979-09-17 15:15:00,28
1979-10-12 15:00:00,13
1979-11-13 13:40:00,236
1979-12-11 14:55:00,89
1980-01-08 14:10:00,121
1980-03-20 11:15:00,287
1980-04-23 12:05:00,1080
1980-05-08 15:30:00,1130
1980-05-28 12:10:00,281
1980-06-19 14:45:00,176
1980-07-02 10:40:00,245
1980-08-05 13:20:00,25
1980-09-02 10:50:00,32
1980-10-09 11:50:00,137
1980-11-22 11:50:00,313
1980-12-15 16:30:00,295
1981-01-15 13:15:00,107
1981-03-04 12:00:00,88
1981-04-08 09:30:00,108
1981-05-02 18:40:00,60
1981-06-04 11:35:00,439
1981-07-30 14:10:00,8.7
1981-08-11 15:45:00,42
1981-08-20 12:15:00,9
1981-09-02 11:25:00,14
1981-10-14 14:50:00,155
1981-11-16 16:05:00,102
1981-12-04 13:30:00,95
1982-01-07 14:25:00,108
1982-02-12 10:30:00,248
1982-03-19 10:40:00,342
1982-04-09 10:55:00,551
1982-05-07 10:25:00,534
1982-06-09 15:15:00,1000
1982-07-27 11:00:00,25
1982-08-11 12:50:00,35
1982-09-09 14:00:00,46
1982-10-12 15:20:00,305
1982-11-18 14:15:00,597
1983-01-25 12:25:00,317
1983-02-24 09:50:00,299
1983-03-24 13:55:00,368
1983-04-15 10:00:00,552
1983-06-02 19:45:00,2420
1983-06-07 13:30:00,1940
1983-07-19 11:55:00,37
1983-08-11 13:45:00,148
1983-09-13 13:45:00,173
1983-10-11 12:45:00,524
1983-12-01 09:45:00,204
1984-01-11 11:55:00,512
1984-03-29 15:55:00,610
1984-05-08 12:25:00,1280
1984-05-14 11:35:00,1440
1984-06-15 11:35:00,847
1984-08-06 15:00:00,50
1984-09-12 08:30:00,109
1987-10-05 14:40:00,30
1987-11-11 13:15:00,106
1987-12-14 12:10:00,105
1988-03-01 13:50:00,78
1988-04-25 16:40:00,94
1988-06-01 12:45:00,392
1988-07-19 17:50:00,9.8
1988-08-29 12:50:00,1.8
1988-10-03 13:10:00,23
1988-11-15 16:05:00,40
1988-12-15 10:45:00,56
1989-02-14 10:50:00,64
1989-03-23 11:05:00,101
1989-04-24 15:15:00,76
1989-06-01 16:20:00,40
1989-06-28 16:25:00,39
1989-07-24 10:50:00,15
1989-08-28 13:05:00,4.7
1989-10-02 15:40:00,30
1989-11-28 14:55:00,73
1990-02-05 13:55:00,39
1990-03-20 11:15:00,83
1990-04-17 17:25:00,42
1990-05-18 11:00:00,26
1990-06-12 13:30:00,1220
1990-06-19 11:45:00,170
1990-07-17 14:30:00,17
1990-08-15 11:55:00,14
1990-09-12 16:20:00,5
1990-09-29 11:00:00,34
1990-10-16 16:30:00,37
1990-11-20 15:45:00,119
1991-02-06 12:00:00,63
1991-03-08 11:50:00,120
1991-04-16 12:05:00,128
1991-06-03 18:10:00,1040
1991-06-05 11:25:00,1370
1991-06-21 11:10:00,57
1991-07-16 14:30:00,16
1991-08-23 14:15:00,21
2007-12-14 14:50:00,50
2008-01-25 12:42:00,111
2008-02-29 12:42:00,162
2008-04-10 16:46:00,348
2008-05-23 09:30:00,86
2008-07-01 13:39:00,168
2008-08-19 13:55:00,39
2008-11-14 09:12:00,69
2009-01-14 13:34:00,37
2009-02-12 11:19:00,52
2009-04-02 12:17:00,105
2009-04-23 12:34:00,322
2009-05-04 09:38:00,873
2009-06-03 10:51:00,1260
2009-07-07 12:41:00,276
2009-08-19 13:14:00,104
2009-10-01 08:48:00,56
2009-11-17 10:21:00,139
2009-12-29 11:42:00,192
2010-02-09 10:22:00,138
2010-03-16 08:15:00,114
2010-06-03 17:18:00,119
2010-07-12 13:50:00,49
2010-07-26 14:05:00,42
2010-08-18 15:00:00,63
2010-10-08 14:43:00,62
2010-10-08 15:20:00,62
2010-11-17 08:37:00,90
2010-11-17 08:57:00,90
2011-01-10 13:15:00,350
2011-02-18 10:42:00,433
2011-03-24 12:08:00,469
2011-04-19 15:05:00,980
2011-05-25 12:15:00,1580
2011-05-26 11:44:00,1500
2011-07-01 13:44:00,1380
2011-08-11 12:48:00,239
2011-09-21 17:37:00,109
2011-10-06 10:47:00,246
2011-10-06 10:47:00,246
2011-11-14 10:52:00,207
2011-12-19 12:32:00,354
2012-02-07 09:46:00,247
2012-03-29 12:11:00,205
2012-04-06 10:22:00,93
2012-05-02 10:43:00,183
2012-05-14 09:45:00,402
2012-05-31 08:39:00,136
2012-06-06 09:29:00,69
2012-07-18 12:08:00,51
2012-07-24 14:54:00,20
2012-08-27 12:42:00,31
2012-09-20 07:57:00,26
2012-10-24 12:12:00,75
2012-11-19 10:42:00,111
2013-01-04 14:18:00,68
2013-02-22 13:34:00,41
1971-02-10 10:35:00,296
1971-08-16 19:05:00,9.1
1971-08-26 14:55:00,12
1971-09-23 14:45:00,16
1971-12-03 00:00:00,377
1971-12-20 19:00:00,400
1972-03-01 14:25:00,310
1972-03-02 08:45:00,310
1972-04-26 15:45:00,300
1972-07-31 15:35:00,3.7
1972-08-09 00:00:00,3
1972-09-08 09:00:00,23
1972-10-18 11:20:00,219
1972-10-18 14:30:00,219
1972-11-29 09:35:00,232
1972-11-29 09:35:00,232
1973-01-26 13:15:00,240
1973-01-26 13:15:00,240
1973-02-27 11:00:00,308
1973-02-27 11:00:00,308
1973-04-12 00:00:00,338
1973-04-12 09:15:00,338
1973-05-26 13:00:00,1240
1973-05-26 13:00:00,1240
1973-06-27 13:40:00,80
1973-06-27 13:40:00,80
1973-07-26 12:55:00,3.1
1973-07-26 12:55:00,3.1
1973-09-25 10:20:00,153
1973-10-29 14:10:00,285
1973-11-27 10:30:00,199
1974-01-14 13:00:00,209
1974-02-15 10:00:00,377
1974-03-15 12:15:00,380
1974-05-09 13:55:00,159
1974-06-17 14:20:00,430
1974-07-16 13:45:00,11
1974-08-20 12:25:00,14
1974-09-19 19:25:00,2.3
1971-02-10 10:35:00,8.4
1971-08-16 19:05:00,0.26
1971-08-26 14:55:00,0.34
1971-09-23 14:45:00,0.45
1971-12-03 00:00:00,11
1971-12-20 19:00:00,11
1972-03-01 14:25:00,8.8
1972-03-02 08:45:00,8.8
1972-04-26 15:45:00,8.5
1972-07-31 15:35:00,0.1
1972-08-09 00:00:00,0.08
1972-09-08 09:00:00,0.64
1972-10-18 11:20:00,6.2
1972-10-18 14:30:00,6.2
1972-11-29 09:35:00,6.6
1972-11-29 09:35:00,6.6
1973-01-26 13:15:00,6.8
1973-01-26 13:15:00,6.8
1973-02-27 11:00:00,8.7
1973-02-27 11:00:00,8.7
1973-04-12 00:00:00,9.6
1973-04-12 09:15:00,9.6
1973-05-26 13:00:00,35
1973-05-26 13:00:00,35
1973-06-27 13:40:00,2.3
1973-06-27 13:40:00,2.3
1973-07-26 12:55:00,0.09
1973-07-26 12:55:00,0.09
1973-09-25 10:20:00,4.3
1973-10-29 14:10:00,8.1
1973-11-27 10:30:00,5.6
1974-01-14 13:00:00,5.9
1974-02-15 10:00:00,11
1974-03-15 12:15:00,11
1974-05-09 13:55:00,4.5
1974-06-17 14:20:00,12
1974-07-16 13:45:00,0.31
1974-08-20 12:25:00,0.4
1974-09-19 19:25:00,0.07
1974-10-16 16:25:00,3
1974-11-27 09:20:00,5
1974-12-18 12:30:00,8.6
1975-01-29 13:00:00,8.3
1975-02-24 14:20:00,2.9
1975-03-21 12:45:00,2.5
1975-04-25 13:50:00,10
1975-05-27 14:35:00,16
1975-06-06 16:30:00,46
1975-06-17 11:35:00,54
1975-07-09 16:30:00,29
1975-08-05 15:35:00,15
1975-09-12 14:05:00,15
1975-10-14 00:00:00,1.6
1975-11-21 12:30:00,9.2
1975-12-18 00:00:00,8.8
1976-01-19 00:00:00,8.1
1976-02-19 00:00:00,7.1
1976-03-16 00:00:00,12
1976-04-29 00:00:00,11
1976-05-27 00:00:00,18
1976-06-23 00:00:00,14
1976-08-12 13:00:00,11
1976-10-06 12:00:00,4.8
1976-11-19 14:10:00,5.4
1977-01-19 13:45:00,2.7
1977-03-01 12:10:00,2.4
1977-04-22 12:15:00,2.7
1977-06-01 10:40:00,3.1
1977-06-27 12:00:00,12
1977-08-08 11:30:00,3.4
1977-08-22 14:00:00,3.8
1977-10-06 12:15:00,3
1977-11-09 13:55:00,4.5
1977-12-08 13:00:00,2.9
1978-01-13 11:00:00,3.3
1978-02-15 12:20:00,3.6
1978-03-16 12:05:00,5.5
1978-06-01 12:50:00,14
1978-07-06 13:45:00,15
1978-08-30 13:30:00,13
1978-11-20 09:55:00,8.8
1979-04-18 11:25:00,6.9
1979-05-02 12:00:00,7
1979-05-29 14:15:00,9
1979-06-11 13:50:00,15
1979-07-09 16:15:00,15
1979-08-06 16:05:00,11
1979-09-12 13:20:00,8.1
1979-10-12 13:00:00,2.4
1979-11-16 13:55:00,1.9
1979-12-13 16:00:00,2.3
1980-01-09 15:30:00,2.4
1980-02-26 14:35:00,3.6
1980-03-20 14:50:00,3.5
1980-04-27 13:15:00,29
1980-05-16 12:15:00,31
1980-06-05 15:05:00,16
1980-07-02 14:40:00,22
1980-08-08 11:00:00,13
1980-09-03 11:50:00,13
1980-10-30 13:10:00,8.8
1980-11-22 14:15:00,7.2
1980-12-15 12:10:00,8.2
1981-01-15 10:45:00,1.8
1981-03-10 12:30:00,1.7
1981-03-18 12:25:00,5.1
1981-04-08 14:10:00,2
1981-05-13 12:30:00,13
1981-06-02 12:15:00,23
1981-07-09 15:50:00,11
1981-08-11 13:10:00,13
1981-10-15 11:10:00,2.7
1981-11-16 12:35:00,2.6
1981-12-17 11:10:00,5.9
1982-01-19 10:35:00,3.9
1982-02-17 10:35:00,6.7
1982-03-19 15:35:00,8.3
1982-04-09 14:50:00,16
1982-06-02 14:10:00,43
1982-07-15 17:00:00,13
1982-08-12 11:20:00,14
1982-10-18 13:45:00,12
1982-11-17 12:05:00,15
1983-01-25 16:10:00,6.7
1983-02-23 13:45:00,6.5
1983-03-03 00:00:00,10
1983-04-15 13:10:00,15
1983-06-02 16:50:00,63
1983-06-07 16:20:00,58
1983-07-19 00:00:00,11
1983-08-12 14:50:00,14
1983-09-14 12:15:00,13
1983-10-11 10:25:00,15
1983-12-06 15:50:00,7.4
1984-03-30 11:55:00,14
1984-04-23 13:05:00,16
1984-05-08 15:40:00,32
1984-05-25 09:20:00,61
1984-06-12 14:30:00,29
1984-06-15 13:30:00,29
1984-06-29 14:20:00,15
1984-08-07 18:05:00,9.7
1984-09-11 12:10:00,11
1987-08-11 13:15:00,9.5
1987-11-09 13:40:00,2.9
1987-12-17 16:45:00,3.5
1988-03-02 11:30:00,2.7
1988-04-25 11:50:00,5.3
1988-05-23 13:15:00,29
1988-07-19 14:25:00,10
1988-08-31 14:15:00,11
1988-11-15 10:10:00,1.9
1988-12-19 15:15:00,2.1
1989-02-21 00:00:00,1.8
1989-02-23 13:45:00,1.9
1989-03-27 17:15:00,2.1
1989-04-27 13:25:00,12
1989-06-01 12:35:00,14
1989-06-27 15:55:00,11
1989-07-27 14:05:00,12
1989-08-29 12:50:00,11
1989-10-03 10:50:00,3.9
1989-11-30 14:20:00,235
1990-02-06 13:25:00,2.3
1990-03-23 14:10:00,2.6
1990-04-17 11:30:00,3.9
1990-05-22 14:35:00,11
1990-06-12 10:00:00,48
1990-06-19 08:50:00,21
1990-07-18 15:20:00,12
1990-08-16 15:05:00,11
1990-09-18 11:40:00,10
1990-09-28 10:00:00,4.6
1990-10-15 14:25:00,2.8
1990-11-20 11:50:00,2.7
1991-02-26 11:30:00,2.4
1991-03-08 15:00:00,2.6
1991-04-16 15:40:00,3.6
1991-06-03 12:50:00,31
1991-06-05 08:10:00,39
1991-06-14 09:15:00,27
1991-07-26 10:30:00,12
1991-08-19 14:00:00,9.3
1974-10-16 16:25:00,107
1974-11-27 09:20:00,177
1974-12-18 12:30:00,304
1975-01-29 13:00:00,294
1975-02-24 14:20:00,102
1975-03-21 12:45:00,87
1975-04-25 13:50:00,352
1975-05-27 14:35:00,563
1975-06-06 16:30:00,1630
1975-06-17 11:35:00,1910
1975-07-09 16:30:00,1040
1975-08-05 15:35:00,540
1975-09-12 14:05:00,519
1975-10-14 00:00:00,56
1975-11-21 12:30:00,324
1975-12-18 00:00:00,311
1976-01-19 00:00:00,286
1976-02-19 00:00:00,250
1976-03-16 00:00:00,414
1976-04-29 00:00:00,404
1976-05-27 00:00:00,618
1976-06-23 00:00:00,510
1976-08-12 13:00:00,387
1976-10-06 12:00:00,171
1976-11-19 14:10:00,191
1977-01-19 13:45:00,96
1977-03-01 12:10:00,86
1977-04-22 12:15:00,94
1977-06-01 10:40:00,108
1977-06-27 12:00:00,425
1977-08-08 11:30:00,120
1977-08-22 14:00:00,133
1977-10-06 12:15:00,106
1977-11-09 13:55:00,158
1977-12-08 13:00:00,103
1978-01-13 11:00:00,118
1978-02-15 12:20:00,126
1978-03-16 12:05:00,193
1978-06-01 12:50:00,500
1978-07-06 13:45:00,522
1978-08-30 13:30:00,466
1978-11-20 09:55:00,311
1979-04-18 11:25:00,243
1979-05-02 12:00:00,248
1979-05-29 14:15:00,317
1979-06-11 13:50:00,513
1979-07-09 16:15:00,529
1979-08-06 16:05:00,404
1979-09-12 13:20:00,286
1979-10-12 13:00:00,86
1979-11-16 13:55:00,68
1979-12-13 16:00:00,81
1980-01-09 15:30:00,85
1980-02-26 14:35:00,127
1980-03-20 14:50:00,122
1980-04-27 13:15:00,1040
1980-05-16 12:15:00,1080
1980-06-05 15:05:00,574
1980-07-02 14:40:00,767
1980-08-08 11:00:00,456
1980-09-03 11:50:00,473
1980-10-30 13:10:00,310
1980-11-22 14:15:00,253
1980-12-15 12:10:00,289
1981-01-15 10:45:00,65
1981-03-10 12:30:00,61
1981-03-18 12:25:00,180
1981-04-08 14:10:00,71
1981-05-13 12:30:00,442
1981-06-02 12:15:00,801
1981-07-09 15:50:00,394
1981-08-11 13:10:00,457
1981-10-15 11:10:00,97
1981-11-16 12:35:00,92
1981-12-17 11:10:00,209
1982-01-19 10:35:00,136
1982-02-17 10:35:00,237
1982-03-19 15:35:00,293
1982-04-09 14:50:00,578
1982-06-02 14:10:00,1520
1982-07-15 17:00:00,443
1982-08-12 11:20:00,478
1982-10-18 13:45:00,408
1982-11-17 12:05:00,513
1983-01-25 16:10:00,237
1983-02-23 13:45:00,230
1983-03-03 00:00:00,356
1983-04-15 13:10:00,514
1983-06-02 16:50:00,2240
1983-06-07 16:20:00,2040
1983-07-19 00:00:00,377
1983-08-12 14:50:00,481
1983-09-14 12:15:00,460
1983-10-11 10:25:00,523
1983-12-06 15:50:00,263
1984-03-30 11:55:00,508
1984-04-23 13:05:00,581
1984-05-08 15:40:00,1140
1984-05-25 09:20:00,2140
1984-06-12 14:30:00,1030
1984-06-15 13:30:00,1040
1984-06-29 14:20:00,543
1984-08-07 18:05:00,342
1984-09-11 12:10:00,406
1987-08-11 13:15:00,336
1987-11-09 13:40:00,101
1987-12-17 16:45:00,122
1988-03-02 11:30:00,95
1988-04-25 11:50:00,187
1988-05-23 13:15:00,1020
1988-07-19 14:25:00,369
1988-08-31 14:15:00,383
1988-11-15 10:10:00,69
1988-12-19 15:15:00,74
1989-02-21 00:00:00,63
1989-02-23 13:45:00,68
1989-03-27 17:15:00,73
1989-04-27 13:25:00,438
1989-06-01 12:35:00,484
1989-06-27 15:55:00,384
1989-07-27 14:05:00,409
1989-08-29 12:50:00,401
1989-10-03 10:50:00,139
1989-11-30 14:20:00,8300
1990-02-06 13:25:00,83
1990-03-23 14:10:00,92
1990-04-17 11:30:00,138
1990-05-22 14:35:00,374
1990-06-12 10:00:00,1680
1990-06-19 08:50:00,745
1990-07-18 15:20:00,421
1990-08-16 15:05:00,405
1990-09-18 11:40:00,368
1990-09-28 10:00:00,161
1990-10-15 14:25:00,99
1990-11-20 11:50:00,94
1991-02-26 11:30:00,86
1991-03-08 15:00:00,93
1991-04-16 15:40:00,127
1991-06-03 12:50:00,1110
1991-06-05 08:10:00,1380
1991-06-14 09:15:00,938
1991-07-26 10:30:00,409
1991-08-19 14:00:00,329
1970-10-09 10:50:00,4.7
1971-02-03 11:40:00,7.5
1971-05-05 11:25:00,15
1971-05-24 16:55:00,18
1971-06-29 15:20:00,19
1971-07-22 17:10:00,15
1971-08-19 12:20:00,15
