LocalDateTime,DataValue
2012-03-05 06:15:00,0.01
2012-03-05 06:30:00,0
2012-03-05 06:45:00,0
2012-03-05 07:00:00,0.01
2012-03-05 07:15:00,0.01
2012-03-05 07:30:00,0.02
2012-03-05 07:45:00,0.01
2012-03-05 08:00:00,0
2012-03-05 08:15:00,0
2012-03-05 08:30:00,0
2012-03-05 08:45:00,0
2012-03-05 09:00:00,0.9
2012-03-05 09:15:00,0
2012-03-05 09:30:00,0
2012-03-05 09:45:00,0.01
2012-03-05 10:00:00,0
2012-03-05 10:15:00,0
2012-03-05 10:30:00,0
2012-03-05 10:45:00,0
2012-03-05 11:00:00,0.05
2012-03-05 11:05:00,0.03
2012-03-05 11:15:00,0.03
2012-03-05 11:30:00,0.02
2012-03-05 11:45:00,0.02
2012-03-05 12:00:00,0.02
2012-03-05 12:15:00,0.03
2012-03-05 12:30:00,0
