LocalDateTime,DataValue
1993-05-20,0.09
1993-05-26,0.28
1993-05-27,0.25
1993-05-28,0.32
1993-05-31,0.45
1993-06-01,0.72
1993-06-02,0.56
1993-06-04,0.47
1993-06-07,0.43
1993-06-09,0.38
1993-06-09,0.35
1993-06-10,0.33
1993-06-11,0.38
1993-06-14,0.56
1993-06-15,0.74
1993-06-16,0.67
1993-06-17,0.88
1993-06-18,0.81
1993-06-19,0.76
1993-06-20,0.69
1993-06-21,0.86
1993-06-22,0.8
1993-06-23,0.86
1993-06-24,0.76
1993-06-25,0.75
1993-06-28,0.79
1993-06-29,0.91
1993-06-30,0.77
1993-07-01,0.81
1993-07-02,0.72
1993-07-06,0.55
1993-07-07,0.49
1993-07-08,0.47
1993-07-09,0.47
1993-07-12,0.46
1993-07-13,0.44
1993-07-14,0.43
1993-07-15,0.41
1993-07-16,0.39
1993-07-19,0.32
1993-07-20,0.31
1993-07-21,0.3
1993-07-26,0.23
1993-07-30,0.2
1993-08-05,0.18
1995-06-05,0.23
1995-06-07,0.24
1995-06-10,0.21
1995-06-12,0.38
1995-06-13,0.39
1995-06-15,0.81
1995-06-16,1.04
1995-06-18,1.06
1995-06-19,0.94
1995-06-20,1.08
1995-06-21,1.04
1995-06-23,0.95
1995-06-26,0.7
1995-06-27,0.87
1995-06-28,0.88
1995-06-29,0.83
1995-07-05,0.59
1995-07-06,0.66
1995-07-10,1.03
1995-07-12,1.05
1995-07-13,0.85
1995-07-14,0.82
1995-07-17,0.67
1995-07-18,0.66
1995-07-19,0.6
1995-07-21,0.55
1995-07-25,0.44
1995-07-27,0.4
1995-08-01,0.3
1996-06-04,0.58
1996-06-08,0.9
1996-06-11,0.98
1996-06-14,0.88
1996-06-16,0.95
1996-06-17,0.93
1996-06-19,0.89
1996-06-20,0.89
1996-06-21,0.92
1996-06-22,0.92
1996-06-23,0.85
1996-06-27,0.66
1997-05-30,0.34
1997-06-03,0.77
1997-06-04,0.96
1997-06-05,0.89
1997-06-09,0.9
1997-06-10,0.9
1997-06-11,0.88
1997-06-12,0.94
1997-06-13,0.92
1997-06-16,0.88
1997-06-17,0.81
1997-06-18,0.96
1997-06-19,1.24
1997-06-20,1.1
1997-06-20,1.2
1997-06-21,1.12
1997-06-22,1.09
1997-06-23,0.96
1997-06-25,0.83
1997-06-26,0.77
1997-06-27,0.7
1997-06-30,0.62
1997-07-01,0.57
